City_ID,City,Country,Lat,Long,Max Temp,Humidity,Clouds,Wind,Current Descrption
79,Saldanha,ZA,-33.0117,17.9442,61.54,78,0,8.08,clear sky
80,Bredasdorp,ZA,-34.5322,20.0403,60.48,69,0,14.67,clear sky
81,Port Alfred,ZA,-33.5906,26.891,64.02,77,5,9.1,clear sky
82,Puerto Ayora,EC,-0.7393,-90.3518,85.96,87,51,5.01,broken clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,-8.05,89,29,4.36,scattered clouds
84,Lichuan,CN,30.3,108.85,45.54,95,100,2.57,overcast clouds
85,Hobart,AU,-42.8794,147.3294,53.46,71,75,3.44,broken clouds
86,Busselton,AU,-33.65,115.3333,55.31,75,10,7.61,clear sky
87,Chokurdakh,RU,70.6333,147.9167,-20.45,100,97,4.56,overcast clouds
88,Mitsamiouli,KM,-11.3847,43.2844,81.82,76,1,6.93,clear sky
89,Seoul,KR,37.5683,126.9778,45.84,59,0,1.07,clear sky
90,Golden,US,39.7555,-105.2211,58.24,47,40,25.32,light rain
91,East London,ZA,-33.0153,27.9116,67.12,76,63,6.51,broken clouds
92,Yumen,CN,40.2833,97.2,53.08,15,4,8.03,clear sky
93,Lebu,CL,-37.6167,-73.65,59.25,82,55,12.53,broken clouds
94,Klaksvík,FO,62.2266,-6.589,32.92,59,100,20.98,overcast clouds
95,Praia,CV,14.9215,-23.5087,71.01,72,20,16.15,few clouds
96,Slyudyanka,RU,51.6594,103.7061,35.78,94,100,5.48,overcast clouds
97,Yangi Marg`ilon,UZ,40.4272,71.7189,66.72,34,0,3.4,clear sky
98,Takāb,IR,36.4009,47.1133,49.48,55,39,1.43,scattered clouds
99,Beira,MZ,-19.8436,34.8389,78.55,87,100,8.46,overcast clouds
100,Ferrol,ES,43.4832,-8.2369,52.32,63,1,11.68,clear sky
101,Sabha,LY,27.0377,14.4283,86.36,8,0,3.62,clear sky
102,Chu,KZ,43.5983,73.7614,60.08,44,4,10.09,clear sky
103,Mataura,NZ,-46.1927,168.8643,49.44,71,17,9.31,few clouds
104,Savonlinna,FI,61.8699,28.88,28.45,86,100,20.71,overcast clouds
105,Upernavik,GL,72.7868,-56.1549,26.56,95,100,7.4,light snow
106,Terrace,CA,54.5163,-128.6035,44.2,68,93,6.08,light rain
107,Xixiang,CN,35.1628,112.865,60.53,42,0,3.04,clear sky
108,Coquimbo,CL,-29.9533,-71.3436,58.73,88,75,13.8,broken clouds
109,Sabang,ID,5.8933,95.3214,77.76,83,100,2.08,light rain
110,Cabo San Lucas,MX,22.8909,-109.9124,79.61,64,0,10.36,clear sky
111,Esperance,AU,-33.8667,121.9,62.64,72,88,6.53,overcast clouds
112,Hambantota,LK,6.1241,81.1185,77.47,84,31,4.38,scattered clouds
113,Beyneu,KZ,45.3167,55.2,54.97,39,99,14.23,overcast clouds
114,Sirte,LY,31.2089,16.5887,65.5,78,15,9.31,few clouds
115,Hasaki,JP,35.7333,140.8333,48.6,76,100,6.44,overcast clouds
116,Rawson,AR,-43.3002,-65.1023,75.67,34,48,25.26,scattered clouds
117,Baltoji Vokė,LT,54.6,25.2,32.45,64,0,6.91,clear sky
118,Geraldton,AU,-28.7667,114.6,63.01,72,57,10.36,broken clouds
119,Naze,JP,28.3667,129.4833,57.97,65,76,2.26,broken clouds
120,Winfield,US,37.2398,-96.9956,71.69,56,40,13.8,scattered clouds
121,Cidreira,BR,-30.1811,-50.2056,69.75,71,22,8.93,few clouds
122,Husavik,IS,66.0449,-17.3389,26.96,94,100,30.4,snow
123,Hualmay,PE,-11.0964,-77.6139,74.25,72,56,9.91,broken clouds
124,Lagoa,PT,39.05,-27.9833,59.79,84,25,13.91,scattered clouds
125,Los Llanos de Aridane,ES,28.6585,-17.9182,58.75,75,40,20.71,scattered clouds
126,Mt. Pleasant,US,32.7941,-79.8626,75.07,77,100,14.97,overcast clouds
127,Kiryat Gat,IL,31.61,34.7642,78.4,25,100,3.49,overcast clouds
128,La Sarre,CA,48.8002,-79.1996,42.94,59,76,4.63,broken clouds
129,Geelong,AU,-38.1471,144.3607,61.34,83,100,8.05,overcast clouds
130,Troitskoye,RU,52.9821,84.6757,42.62,84,100,7.45,overcast clouds
131,Ferkessédougou,CI,9.6,-5.2,88.34,39,100,3.65,overcast clouds
132,Tōno,JP,39.3167,141.5333,39.45,97,100,2.98,overcast clouds
133,Aklavik,CA,68.2191,-135.0107,-4.07,85,81,6.93,broken clouds
134,Qaanaaq,GL,77.484,-69.3632,12.67,85,47,2.39,scattered clouds
135,Vila Franca do Campo,PT,37.7167,-25.4333,59.41,67,23,4.25,few clouds
136,Povenets,RU,62.8487,34.8262,32.9,97,100,18.03,light snow
137,Quatre Cocos,MU,-20.2078,57.7625,78.1,86,86,10.2,moderate rain
138,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,3.44,moderate rain
139,Ardea,IT,41.6123,12.5143,54.63,73,5,4.63,clear sky
140,Kyabram,AU,-36.3167,145.05,58.87,77,100,5.32,light rain
141,Tūkrah,LY,32.5341,20.5791,66.04,64,100,2.39,overcast clouds
142,Kabanjahe,ID,3.1001,98.4908,63.1,97,100,3.18,overcast clouds
143,Buchanan,LR,5.8808,-10.0467,80.64,87,82,8.84,broken clouds
144,Noyabrsk,RU,63.1994,75.4507,33.21,89,100,27.45,overcast clouds
145,Menzel Kamel,TN,35.6248,10.6673,60.24,82,40,12.66,scattered clouds
146,Barcelos,PT,41.5388,-8.6151,55.85,64,98,3.8,overcast clouds
147,Avarua,CK,-21.2078,-159.775,84.25,74,20,8.05,few clouds
148,Omboué,GA,-1.5746,9.2618,78.69,87,42,8.72,scattered clouds
149,Marsh Harbour,BS,26.5412,-77.0636,77.47,76,75,15.43,broken clouds
150,Gladstone,AU,-23.85,151.25,69.73,83,14,4.61,few clouds
151,Brae,GB,60.3964,-1.353,37.62,72,100,7.7,overcast clouds
152,Road Town,VG,18.4167,-64.6167,82.44,69,40,11.5,scattered clouds
153,Karasjok,NO,69.4719,25.5112,24.8,91,100,24.94,overcast clouds
154,Bandarbeyla,SO,9.4942,50.8122,79.27,71,3,7.16,clear sky
155,Mahon,ES,39.8885,4.2658,54.16,66,40,8.05,moderate rain
156,Clyde River,CA,70.4692,-68.5914,7.36,83,0,2.64,clear sky
157,Yar-Sale,RU,66.8333,70.8333,26.89,97,100,23.87,snow
158,Marabá,BR,-5.3686,-49.1178,86.18,79,75,2.3,broken clouds
159,Port Elizabeth,ZA,-33.918,25.5701,64.31,76,5,17.0,clear sky
160,Mwene-Ditu,CD,-7.0,23.45,69.15,83,56,2.51,broken clouds
161,Severo-Kuril'sk,RU,50.6789,156.125,33.67,67,3,4.61,clear sky
162,Ambon City,ID,-3.6954,128.1814,77.14,88,20,4.61,few clouds
163,Yeppoon,AU,-23.1333,150.7333,69.58,76,5,12.12,clear sky
164,Taoudenni,ML,22.6783,-3.9836,89.98,16,0,9.78,clear sky
165,Port Hawkesbury,CA,45.6169,-61.3485,37.9,78,61,8.99,broken clouds
166,Pisco,PE,-13.7,-76.2167,75.25,64,0,17.27,clear sky
